#$Equipos$de Liga 1
1|1|0|CA Trigal
1|1|0|Deportivo Olívico
1|1|0|ADV Kabuki
1|1|1|Sporting Dragonite
1|1|1|Gyarados FC
1|1|1|Cerezo FC
1|1|1|Atlético Sudowoodo
1|1|2|UD Volcánica
1|1|2|CD Céfiro
1|1|2|SCD Pluma Blanca
#$Equipos$de Liga 2
2|1|0|UD Glaciar
2|1|0|Zidra Shuckle
2|1|0|CA Islas Remolino
2|1|1|CD Relojeros
2|1|1|AC Azumarill
2|1|1|CA Vivero
2|1|1|CF Trueno
2|1|2|CS Magnético
2|1|2|Deportes Viento Norteño
2|1|2|Imperial de Endrino
#$Equipos$de Liga 3 - Grupo 1
3|1|0|Sakura Atlético
3|1|0|Arcoíris AD
3|1|0|AD Bellsprout
3|1|1|BP Quercus
3|1|1|Insectario Antón
3|1|1|CD Pyrus
3|1|1|SD Mortero
3|1|2|Monte Plateado FC
3|1|2|CP Durazno
3|1|2|CA Montañero de Endrino
#$Equipos$de Liga 3 - Grupo 2
3|2|0|CP Planicie
3|2|0|Parque Nacional SC
3|2|0|Cristalera Iris
3|2|1|CA Yerbabuena
3|2|1|SD Scyther
3|2|1|CD Orquídea
3|2|2|SD Caoba Shinobi
3|2|2|GD Farense
3|2|2|Jynx Deportivo
3|2|2|Radio Trigal
#$Equipos$de Liga 4 - Grupo 1
4|1|0|Independiente Primavera
4|1|0|Estudiantes de Cerezo
4|1|0|Alfabeto RACF
4|1|1|CD Mirto
4|1|1|Pegaso de Malva
4|1|1|Marítimo Sakura
4|1|1|JD Poliwrath
4|1|2|Melocotón CA
4|1|2|Atlético Ursaring
4|1|2|CR Exploradores
#$Equipos$de Liga 4 - Grupo 2
4|2|0|AD Club Safari
4|2|0|SD Tauros
4|2|0|CD Houndoom
4|2|1|AV Roca Roja
4|2|1|Banana Atlético
4|2|1|CD Azalea
4|2|1|SCD Aníbal Barca
4|2|2|SD Escarlata
4|2|2|Burbujas SDyC
4|2|2|AD Terramusiana
#$Equipos$de Liga 4 - Grupo 3
4|3|0|SD Ciruelo
4|3|0|AC Rikishii
4|3|0|Mineral CF
4|3|1|Sports Volcánico
4|3|1|Atlético Ampharos
4|3|1|CF Piloswine
4|3|1|Liga Deportiva de Iris
4|3|2|ED Cedro
4|3|2|SCA Tyrogue
4|3|2|Atlético Hitmontop
#$Equipos$de Liga 5 - Grupo 1
5|1|0|New Bark SC
5|1|0|CA Gligar
5|1|0|SD Malus
5|1|0|Valfloridia SCD
5|1|0|CD Catalia
5|1|0|JD Crobat
5|1|1|CA Diente de León
5|1|1|Atlético Tohjo
5|1|1|AC Orégano
5|1|1|SD Togetic
5|1|1|AC Plateado
5|1|1|UD Politoed
5|1|1|Milenaria CF
5|1|2|Atlético de la Y
5|1|2|CD Noctowl
5|1|2|AS Olmo
5|1|2|AD Girasol
5|1|2|SD Corona Dorada
5|1|2|SD Wobbuffet
5|1|2|Pescadores 31 SA
#$Equipos$de Liga 5 - Grupo 2
5|2|0|San Antonio Deportivo
5|2|0|Arroceros CF
5|2|0|CD Rosamarinus
5|2|0|Atlético Scizor
5|2|0|Fauces CF
5|2|0|CD Musa
5|2|1|CA Tempestad
5|2|1|TDC Punto Azul
5|2|1|Cultural de la 35
5|2|1|IA Azulejo
5|2|1|Atlético Grano de Oro
5|2|1|Aranja Shuckle
5|2|1|Colmena CF
5|2|2|Oro Blanco CF
5|2|2|AS Arqueólogo
5|2|2|CRD Bonguri Arcoíris
5|2|2|Atlético Amortiguador
5|2|2|Rododendro Atlético
5|2|2|Caña Áurea Atlético
5|2|2|Marítimo Cuadragésimo
#$Equipos$de Liga 5 - Grupo 3
5|3|0|SC Mistrío
5|3|0|Magikarp FC
5|3|0|Club Olívico
5|3|0|Atlético Castañeda
5|3|0|Niebla SCD
5|3|0|Atlético Dratini
5|3|1|Rising FC
5|3|1|Serpefierro CF
5|3|1|CA Lacustre
5|3|1|Unión Marion
5|3|1|Edelweiss CF
5|3|1|Swinub CD
5|3|1|Místicas Iris SCD
5|3|2|Atlético Porteño
5|3|2|AD Rolifante
5|3|2|CD Bergamotero
5|3|2|CD Espinanegra
5|3|2|SD Verbenal
5|3|2|Petralba 39 CF
5|3|2|Deportivo Ébano
#$Equipos$de Liga 6 - Grupo 1
6|1|0|AC Luparina
6|1|0|CD Piromusa
6|1|0|Coraza Aérea CF
6|1|0|Hércules de la Ladera
6|1|0|SD Ladereña
6|1|0|Vía 29 FC
6|1|1|CD Plateado
6|1|1|CD Ribereño
6|1|1|Montañeros de la Unión
6|1|1|SD Escorpiagudo
6|1|1|Tyranitar SD
6|1|1|CD Fortaleza
6|1|2|Atlético Leodente
6|1|2|Azucena CF
6|1|2|CAFB Rivera
6|1|2|Camino de la Montaña CF
6|1|2|CRD Argénteo
6|1|2|Megatón Sportivo
#$Equipos$de Liga 6 - Grupo 2
6|2|0|Atlético Florando
6|2|0|CA Agua Mística
6|2|0|CPD Cerezo Norte
6|2|0|CS Manzanero
6|2|0|Deportivo Ficus
6|2|0|EDF Ariados
6|2|1|Atlético Úlmico
6|2|1|CD Duraznero
6|2|1|CD Rosal 
6|2|1|Sportivo Dunsparce
6|2|1|Vía 30 FC
